,name,diet,period,lived_in,type,length,taxonomy,named_by,species,link,image
134,hylaeosaurus,herbivorous,Early Cretaceous 150-135 million years ago,United Kingdom,armoured dinosaur,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Mantell (1833),armatus,https://www.nhm.ac.uk/discover/dino-directory/hylaeosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/hylaeo.jpg
135,hypacrosaurus,herbivorous,Late Cretaceous 70 million years ago,USA,euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Brown (1913),altispinus,https://www.nhm.ac.uk/discover/dino-directory/hypacrosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Hypacrosaurus.jpg
136,hypsilophodon,herbivorous,Early Cretaceous 125 million years ago,United Kingdom,euornithopod,2.3m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Hypsilophodontidae,Huxley (1869),foxii,https://www.nhm.ac.uk/discover/dino-directory/hypsilophodon.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/hypsil.jpg
137,iguanodon,herbivorous,Early Cretaceous 140-110 million years ago,United Kingdom,euornithopod,10.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Boulenger and van Beneden (1881),bernissartensis,https://www.nhm.ac.uk/discover/dino-directory/iguanodon.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/iguano.jpg
138,indosuchus,carnivorous,Late Cretaceous 71-65 million years ago,India,large theropod,7.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,Huene and Matley (1933),raptorius,https://www.nhm.ac.uk/discover/dino-directory/indosuchus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Indosuchus.jpg
139,irritator,carnivorous,Early Cretaceous 112-99 million years ago,Brazil,large theropod,6.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,Martill Cruickshank Frey Small and Clarke (1996),challengeri,https://www.nhm.ac.uk/discover/dino-directory/irritator.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Irritator.jpg
140,isisaurus,herbivorous,Late Cretaceous 71-65 million years ago,India,sauropod,,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Jain and Bandyopadhyay (1997),colberti,https://www.nhm.ac.uk/discover/dino-directory/isisaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Isisaurus.jpg
141,janenschia,herbivorous,Late Jurassic 154-151 million years ago,Tanzania,sauropod,20.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Wild (1991),robusta,https://www.nhm.ac.uk/discover/dino-directory/janenschia.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Janenschia.jpg
142,jaxartosaurus,herbivorous,Late Cretaceous 94-84 million years ago,Kazakhstan,euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Riabinin (1939),aralensis,https://www.nhm.ac.uk/discover/dino-directory/jaxartosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jaxartosaurus.jpg
143,jingshanosaurus,herbivorous,Early Jurassic 205-190 million years ago,China,sauropod,5.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria,Zhang and Yang (1995),xinwaensis,https://www.nhm.ac.uk/discover/dino-directory/jingshanosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jingshanosaurus.jpg
144,jinzhousaurus,herbivorous,Early Cretaceous 127-121 million years ago,China,euornithopod,,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Wang and Xu (2001),yangi,https://www.nhm.ac.uk/discover/dino-directory/jinzhousaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jinzhousaurus.jpg
145,jobaria,herbivorous,Early Cretaceous 132-94 million years ago,Niger,sauropod,21.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,Sereno Beck Dutheil Larsson Lyon Moussa Sadleir Sidor Varricchio Wilson and Wilson (1999),tiguidensis,https://www.nhm.ac.uk/discover/dino-directory/jobaria.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jobaria.jpg
146,juravenator,carnivorous,Late Jurassic 154-151 million years ago,Germany,small theropod,0.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Göhlich &amp; Chiappe (2006),starki,https://www.nhm.ac.uk/discover/dino-directory/juravenator.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Juravenator.jpg
147,kentrosaurus,herbivorous,Late Jurassic 155-150 million years ago,Tanzania,armoured dinosaur,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Hennig (1915),aethiopicus,https://www.nhm.ac.uk/discover/dino-directory/kentrosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/kentro.jpg
148,khaan,omnivorous,Late Cretaceous 81-75 million years ago,Mongolia,small theropod,1.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,Clark Norell and Barsbold (2001),mckennai,https://www.nhm.ac.uk/discover/dino-directory/khaan.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Khaan.jpg
149,kotasaurus,herbivorous,Early Jurassic 205-180 million years ago,India,sauropod,9.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda,Yadagiri (1988),yamanpalliensis,https://www.nhm.ac.uk/discover/dino-directory/kotasaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Kotasaurus.jpg
150,kritosaurus,herbivorous,Late Cretaceous 78-74 million years ago,USA,euornithopod,8.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Brown (1910),navajovius,https://www.nhm.ac.uk/discover/dino-directory/kritosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/krito.jpg
